Port_IDs,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Score
3672754654734989568,0,0,0.0,0,0,0.0
4017263283405469185,0,0,0.0,0,0,0.0
4019895412775450368,0,0,0.0,0,0,0.0
4020204877254599680,0,0,0.0,0,0,0.0
4021243448368889856,0,0,0.0,0,0,0.0
4021669203289716224,0,0,0.0,0,0,0.0
4022565861939831809,0,0,0.0,0,0,0.0
4022641794255717633,0,0,0.0,0,0,0.0
4023616625178799873,0,0,0.0,0,0,0.0
4023697433751327232,0,0,0.0,0,0,0.0
4023697881318718465,0,0,0.0,0,0,0.0
4026179081117855488,0,0,0.0,0,0,0.0
4027747397961573889,0,0,0.0,0,0,0.0
4028427053699127040,0,0,0.0,0,0,0.0
4028701921959171840,0,0,0.0,0,0,0.0
4029299190618134272,0,0,0.0,0,0,0.0
4029422834086627072,0,0,0.0,0,0,0.0
4017323550554338817,0,0,0.0,0,0,0.0
4017110277719148289,0,0,0.0,0,0,0.0
4029507714735307777,0,0,0.0,0,0,0.0
4016164457907769600,0,0,0.0,0,0,0.0
3999845462424248576,0,0,0.0,0,0,0.0
4000222729738650369,0,0,0.0,0,0,0.0
4000877324693233921,0,0,0.0,0,0,0.0
4002413037164645377,0,0,0.0,0,0,0.0
4004410127575640832,0,0,0.0,0,0,0.0
4004713168329653760,0,0,0.0,0,0,0.0
4006366295148391425,0,0,0.0,0,0,0.0
4008537296438699777,0,0,0.0,0,0,0.0
4008711265867865600,0,0,0.0,0,0,0.0
4008804082027254529,0,0,0.0,0,0,0.0
4011626972687000576,0,0,0.0,0,0,0.0
4012994295026226176,0,0,0.0,0,0,0.0
4013955990069013504,0,0,0.0,0,0,0.0
4013978721149559808,0,0,0.0,0,0,0.0
4014818740371615232,0,0,0.0,0,0,0.0
4029506971304830209,0,0,0.0,0,0,0.0
4029749871687083265,0,0,0.0,0,0,0.0
3733192481840423936,0,0,0.0,0,0,0.0
4034786679304751616,0,0,0.0,0,0,0.0
4035430878731345664,0,0,0.0,0,0,0.0
4036548677626662656,0,0,0.0,0,0,0.0
4037073643537925121,0,0,0.0,0,0,0.0
4037121179310444801,0,0,0.0,0,0,0.0
4037179073830813185,0,0,0.0,0,0,0.0
4037282461943784704,0,0,0.0,0,0,0.0
4037511388357114368,0,0,0.0,0,0,0.0
4037717032428033792,0,0,0.0,0,0,0.0
4037785885739608577,0,0,0.0,0,0,0.0
4038768306117031680,0,0,0.0,0,0,0.0
4039129759104249600,0,0,0.0,0,0,0.0
4039279455324236544,0,0,0.0,0,0,0.0
4040382575336130560,0,0,0.0,0,0,0.0
4040843843196854529,0,0,0.0,0,0,0.0
4041804592937345281,0,0,0.0,0,0,0.0
4035034554469394176,0,0,0.0,0,0,0.0
4034359562055356161,0,0,0.0,0,0,0.0
4030392204221219329,0,0,0.0,0,0,0.0
4033639786957934336,0,0,0.0,0,0,0.0
